"","file_name","short_name","maxSegments","vertexCountOvershoot","recoveryThreshold","pvalThreshold","bestModelProportion","TN","FN","TP","FP","Recall","Precision","F1","Accuracy"
"1","lt_nbr_greatest_tuning_recoverythreshold_75","recoverythreshold_0.75",10,3,0.75,0.05,0.75,337800,85464,36001,20230,0.640234035,0.296389907,0.405197641,0.779572258
"2","lt_nbr_greatest_tuning_defaults","defaults",10,3,0.25,0.05,0.75,344025,94976,27014,13480,0.667111177,0.221444381,0.33251274,0.773812031
"3","rasters/lt_gee_nbr_greatest_tuning_maxsegments_8","maxSegments_8",8,3,0.25,0.05,0.75,344365,95283,26762,13085,0.67161894245489,0.219279773853906,0.33061547204309,0.773995557826463
"4","rasters/lt_gee_nbr_greatest_tuning_maxsegments_12","maxSegments_12",12,3,0.25,0.05,0.75,343921,94646,27365,13563,0.668613174354965,0.22428305644573,0.3358925732943,0.774327156696107
"5","lt_gee_nbr_greatest_tuning_vertexovershoot_1","vertexOvershoot_1",10,1,0.25,0.05,0.75,344315,95019,27006,13155,0.672443415253604,0.221315304240934,0.333025045318338,0.774400150157979
"6","lt_gee_nbr_greatest_tuning_vertexovershoot_5","vertexOvershoot_5",10,5,0.25,0.05,0.75,344023,94815,27194,13463,0.668863910273754,0.222885196993664,0.334353829318973,0.774183255299847
"7","lt_gee_nbr_greatest_tuning_recoverythreshold_05","recoverythreshold_0.5",10,3,0.5,0.05,0.75,341428,86589,35100,16378,0.68184467151016,0.288440204126914,0.405389017537984,0.785259491756953
"8","lt_gee_nbr_greatest_tuning_pval_1","pval_0.1",10,3,0.25,0.1,0.75,344011,94700,27275,13509,0.668767163593566,0.223611395777823,0.335158117216252,0.774327156696107
"9","lt_gee_nbr_greatest_tuning_pval_2","pval_0.2",10,3,0.25,0.2,0.75,344081,94412,27553,13449,0.671991610165358,0.225909072274833,0.338142077843981,0.775052920259857
"10","lt_gee_nbr_greatest_tuning_modelproportion_1","modelproportion_1",10,3,0.25,0.2,1,344187,95138,26880,13290,0.669156086631815,0.220295366257437,0.331467186228328,0.773870426177541
"11","lt_gee_nbr_greatest_tuning_modelproportion_5","modelproportion_0.5",10,3,0.25,0.2,0.5,344187,95138,26880,13290,0.669156086631815,0.220295366257437,0.331467186228328,0.773870426177541
